source,target
preparation displays,beredningsdisplayer
Prepayments,Förskottsbetalningar
pre-printed,förtryckt
presentations,presentationer
Preventive Maintenance,Förebyggande underhåll
preview,Förhandsgranskning
price list,prislista
pricelist,prislista
price lists,prislistor
pricelists,prislistor
Prikaži organizacijsku šemu,visa organisationsschema
Print provider,Utskriftsleverantör
prints,utskrifter
privacy terms,sekretessvillkor
private key,privat nyckel
processed,behandlad
Processed,Behandlad
Procurement exception,Undantag från införskaffning
Procurement,Införskaffning
Procurement Rule,Införskaffningsregel
Produced Qty,Producerad mängd
Product availability,Produkt tillgänglighet
Product Categories,Produktkategorier
Product Identifier,Produktidentifierare
Product inventory,Produktlager
Production,Produktion
production schedule,produktionsschema
Productivity Losses,Produktionsförluster
Productivity loss,Produktionsförlust
product move,produktflytt
product,produkt
Product,Produkt
products,produkter
Products To Process,Produkter att behandla
produto,produkt
Produto,Produkt
profiling,profilering
profit and loss account,resultaträkning
profit margin,vinstmarginal
profit,vinst
PRO-FORMA Invoice,Proforma faktura
program,program
project manager,projektledare
project,projekt
projects,projekt
promoted,rekomenderad
Promote,Främja
promotion,promotion
Pronóstico,Prognos
propagate,sprida
propagation,spridning
properties,egendomar
property,egendom
pros,fördelar
Provider,Leverantör
public holiday,helgdag
public holidays,helgdagar
Public,Offentlig
publish,publisera
pull,dra
Purchase,Inköp
Purchase Receipt,Inköpskvitto
Purchase Requisition,Inköpsrekvisition
purchasing,inköp
push notification,pushanmälan
putaway,lagerläggning
Putaway,Lagring
Python code,Python-kod
Q&A,Frågor & Svar
qty,Antal
Qty,Antal
Qty Produced,Mängd producerad
quality check,kvalitetskontroll
Quality Control,Kvalitetskontroll
Quality Control Point,Kvalitetskontrollpunkt
Quantify,Kvantifiera
quantities,Antal
quantity,Antal
quant,Kvantitet
quants,Kvantiteter
Question,Fråga
Question's Answer,Frågor & Svar
queue,kö
queue manager,Köhanterare
queues,köer
quotation,offert
Quotation,Offert
Quote,Offert
qweb field,qweb-fält
Rack,Rack
radio button,alternativknapp
Range,Intervall
rank,rankning
Rates,Priser
rating,betyg
Rating,Betyg
ratio,kvot
Raw material,Råmaterial
Real cost,Verklig kostnad
Real Estate,fastigheter
Real,Verklig
receipt,kvitto
Receipts,Kvitton
receivable account,fordringskonto
receivable,fordran
Receivable,Fordran
Receivables,Kortfristiga fordringar
Recepient,Mottagare
Recipients,Mottagare
Recognition,Erkännande
reconcile,avstämma
reconciled,avstämd
reconciliation,avstämning
record,post
records,punkter
recruitment,rekrytering
recuperation,återhämtning
Recurring,återkommande
Recurring,Återkommande
Recycle,återvinna
redirected,omdirigerad
redirecting,omdirigerar
redirect,omdirigera
redirects,omdirigerar
reference,referens
References,Referenser
Referral,Remiss
ref,referens
refreshed,uppdaterad
refreshes,uppdateringar
refreshing,uppdaterar
refresh,uppdatera
refund,återbetalning
Refund,Återbetalning
regex,regex
register,register
Registration desk,Registreringsdisk
regular expression,reguljärt uttryck
regular expressions,reguljära uttryck
reimbursed,ersatt
reimburse,ersätta
reimbursements,Återbetalningar
reimbursement,Återbetalning
reimburses,ersätter
reimbursing,ersätter
reinvoice,omboka
re-invoice,ombokning
reject,Avvisa
Related,Relaterad
reloaded,omladdad
reloading,laddar om
reload,ladda om
reloads,laddar om
Remark,Anmärkning
reminder,påminnelse
remind,påminn
removed,borttagen
removes,tar bort
remove,ta bort
removing,tar bort
rename,byt namn
rental,uthyrning
renter,hyresgäst
Renter,Hyresgäst
Reordering,Ombeställning
Reordering Rule,Ombeställningsregel
repaired,reparerad
repairing,reparerar
repair,reparation
repair,reparera
repairs,reparationer
replacing,ersätter
replenished,påfylld
replenishes,påfyllningar
Replenish,Fyll på
replenishing,påfyller
replenishment,påfyllning
Replenishment,Påfyllning
replenishments,påfyllningar
Replenish on Order,Fyll på vid beställning
replenish,påfyllning
Reply-To,Svara till
Report File,Rapportfil
report,rapport
reports,rapporter
Reports,Rapporter
Request cannot be signed,Förfrågan kan inte signeras
Request Count,Antal förfrågningar
Request,Förfrågan
Requests,Förfrågningar
Required,Obligatorisk
Requirements,Krav
Requisition,Rekvisition
Reservation,Reservation
reserved,reserverad
reserve,reservera
Reserve,Reservera
resets,återställningar
resetting,återställer
Reset to draft,Återställ till utkast
reset,återställ
Reset,Återställ
residual,resterande
Resource Working Time,Resurs arbetstid
Responsible,Ansvarig
Responsible User,Ansvarig användare
Res,Res
Restaurant Floor,Restauranggolv
Restore,Återställ
résumé,meritförteckning
résumés,meritförteckningar
Resupply Subcontractor,återförsörjning underentreprenör
resupply,återförsörjning
Retailer,Detaljist
retained earnings,balanserad vinst eller förlust
Return Picking,Returplockning
Revenue,Intäkt
Revenues,Intäkter
reversal,omkastning
RFQ,Offertförfrågan
RFQs,Offertförfrågningar
ribbon,band
Ribbon,Band
ribbons,band
Ribbons,Band
Right,Rätt
Role,Roll
Roles,Roller
Rotate,Rotera
rounding,avrundning
Rounding,Avrundning
Rounding Method,Avrundningsmetod
round up,avrunda uppåt
route,rutt
routing,operationslista
Routing,Operationslista
Rows,Rader
rule,regel
rules,regler
Running Balance,Löpande balans
Run-Rate,Drifthastighet
SAF-T,SAF-T
salary attachment,lönebilaga
Salary Attachment,Lönebilaga
salary attachments,lönebilagor
Salary,Lön
salary package,lönepaket
salary packages,lönepaket
salary rule,löneregel
salary rules,löneregler
Sale Order Line,Kundorderrad
Sales,Försäljning
Sales personnel,Säljpersonal
Sales team,Säljstyrka/Säljteam
salvage,rädda
sanitized,sanerade
Satisfaction survey,Nöjdhetsundersökning
Saturday,lördag
saved,sparad
save,spara
Save,Spara
saves,sparar
saving,spara
scanned,skannad
scanner,scanner
scanners,scanners
scanning,skanning
scan,skanna
Scan,Skanna
scans,skanningar
scheduled,schemalagd
scheduler,schemahanterare
schedulers,schemahanterare
schedule,schema
Scheduling,Schemahantering
screen,skärm
scroll,rulla
SDD,SDD
search bar,sökfält
searched,Sökt
searches,sökningar
searches,Sökningar
searching,Söker
search,sök
Search,Sök
section,sektion
Securities,Värdepapper
Security Token,Säkerhetspolett
Select,Välj
sell timesheets,sälj tidsrapporter
send mail,skicka e-post
Send,Skicka
Send to sign,Skicka för signering
Sent,Skickad
SEPA Credit Transfer,SEPA kreditöverföring
SEPA Direct Debit,SEPA direktdebitering
SEPA,SEPA
September,september
sequence,sekvens
Sequence,Sekvens
serial number,serienummer
Serial Number,Serienummer
serial numbers,serienummer
serial,serie
server action,serveråtgärd
servers,servrar
servers,Servrar
Setting,Inställning
Settings,Inställningar
set-up,installation
set up,installera
sheet,blad
shipment,sändning
Shipper,Sändare
shipping connector,fraktkoppling
shipping connectors,fraktkopplingar
shipping cost,fraktkostnad
shipping,Frakt
shipping weight,fraktvikt
shop,affär
shopee,Shopee
Shopee,Shopee
shop floor,verkstadsgolvet
shortcode,kortkod
shortcut,genväg
shortcuts,genvägar
Short Name,Kortnamn
showbooth,monter
Signatory Data,Signaturuppgifter
Signature Certificate,Signaturcertifikat
Signature configuration,Signaturinställningar
Signature Field Type,Signaturfältstyp
Signature Hash,Signaturhash
signature request,begäran om underskrift
Signature request signers,Signaturförfrågans signatärer
signature,signatur
Signature,Signatur
Signatures,Signaturer
Sign document,Signera dokument
Signed Count,Antal signerade
Signed document,Signerat dokument
Signed on,Signerad den
Signed On,Signerad den
Signed,Signerad
Signed?,Signerad?
Signer Count,Antal undertecknare
Signer,Undertecknare
Signers,Undertecknare
Sign from template,Signera från mall
Sign in,Logga in
Sign now,Signera nu
Sign Now,Signera nu
Sign Oca,Signera Oca
Sign Oca Template Generate,Generera Signera Oca-mall
Sign Oca Template Generate Multi,Generera flera Signera Oca-mallar
Sign Oca Template Item,Signera Oca-mallobjekt
Sign Oca Template,Signera Oca-mall
Sign out,Logga ut
Sign Request,Signeringsförfrågan
Sign Requests,Signeringsförfrågningar
Sign Request Value,Signeringsförfrågans värde
Sign Role,Signeringsroll
Sign,Signatur
Simple and obvious,Enkelt och tydligt
Sitemap,Sidkarta
Skill,Kompetens
skill up,kompetenshöj
slide,bildspel
slider,reglage
Slides,Bilder
Closing date,Slutdatum
Smart-Card,Smartkort
sms,SMS
SMS,SMS
snail mail,snigelpost
snippet,utdrag
Social Networking,Socialt nätverkande
social,social
Sort By,Sortera efter
SO,SO
source document,källdokument
Source Document,Källdokument
Source Location,Källplats
Special effects,Specialeffekter
Special,Speciell
Speed,Hastighet
record,spela in
spouse,make
spreadsheet,Kalkylblad
spreadsheets,Kalkylblad
stacked,staplade
stage,etapp
stages,etapper
Stamp duty,Stämpelskatt
Standard Price,Standardpris
Stand-By Letter Of Credit,Standby kreditbrev
Starting,Startar
statements,påstående
Statement,påstående
state,stat
State,Stat
statistics,statistik
status,status
Stock,Lager
stock move,lagerrörelse
Stock Output Account,Lagerutgångskonto
stock quant,Lagerkvantitet
stocks,lager
stock valuation,lagervärdering
Stock Valuation,Lagervärdering
Storage capacities,Lagringskapacitet
storage,lagring
stream,ström
Stream,Ström
street2,gata 2
Studio,Studio
style,stil
subcontractors,underentreprenörer
Subcontractor,Underleverantör
Sub-field,Underfält
subformula,delformel
subscribed,prenumererade
subscribes,prenumererar
subscribing,prenumererar
subscriptions,prenumerationer
Subscriptions,Prenumerationer
subtitle,undertitel
Subtotal,Delsumma
sum,summa
Sunday,söndag
supplier,leverantör
Support multiple variants per products,Stöd för flera varianter per produkt
Surcharge,Tilläggsavgift
survey,undersökning
Survey,Undersökning
Susbscription,Prenumeration
suspense account,interimskonto
suspense,uppskov
switcher,växlare
synced,synkroniserad
synchronized,synkroniserad
synchronizes,synkroniserar
synchronize,synkronisera
synchronizing,synkroniserar
syncing,synkroniserar
sync,synkronisera
Tasks,Uppgifter
Task,Uppgift
Taxability Information Code,Skattepliktig informationskod
Taxability Information Codes,Skattepliktiga informationskoder
Tax Cash Basis,Kontantbaserad skatt
Tax Closing Entry,Skatteavslutningstransaktion
Tax ID,Skattenummer
Tax return,Deklaration
Technical name,Tekniskt namn
Template,Mall
Templates,mallar
Terms,Villkor
Text,Text
The survey,Undersökningen
This journal,Denna journal
Thousands Separator,tusentalsavskiljare
Thumbnail,Miniatyrbild
Thursday,torsdag
Ticket,Biljett
Tickets,Biljetter
Timesheets,Tidsrapporter
Timesheet,Tidsrapport
Time,Tid
Title,Rubrik
To Approve,Att godkänna
Today Activities,Dagens aktiviteter
To-do,att göra
Todo,Att göra
To Process,Att behandla
To sign,Att signera
To Sign,Att signera
Total Component Cost,Total komponentkostnad
Total Cost,Totalkostnad
Total Discount,Total rabatt
Total Margin,Total marginal
Total,Totala
TPM (total productive maintenance),TPM (total produktivt underhåll)
TPM (Total Productive Maintenance),TPM (Total produktivt underhåll)
Traceability,Spårbarhet
Tracking number,Spårningsnummer
Trainings,Utbildningar
Transfer,Överföra
Transient,Övergående
Trash,Soptunna
Trial Balance,råbalans
Trigger,utlösare
Trigger,Utlösare
TRUE,SANT
Tuesday,tisdag
Tutorial,Handledning
TUTORIALS,Handledningar
Twitter Wall,Twittervägg
Type,Typ
Unbuild Order,Unbuild Order
Undefined,Odefinierad
Unit of Measure Category,Måttenhetskategori
Unit Price,Pris per enhet
Unnamed,Namnlös
Unread,Oläst
Unreserve,Avreservera
Untaxed Amount,Skattefritt belopp
Untaxed,Skattefri
UoM,Måttenhet
Upsell,Uppförsäljning
URLs,URL:er
URL,URL
User: All Documents,Användare: Alla dokument
User,Användare
User: Own Documents Only,Användare: Endast egna dokument
Users %s has already signed the document,Användare %s har redan signerat dokumentet
Utils,Verktyg
Utillities,Verktyg
Verify & Send document,Verifiera och skicka dokument
Verify,Verifiera
Validation,Validering
Valuation Adjustments,Värderingsjusteringar
Valuation,Värdering
Variant,Variant
VAT number,Momsregistreringsnummer
VAT,Moms
Vendor bill,Leverantörsfaktura
Vendor,Leverantör
Vendor Reference,Leverantörsreferens
Vendor Taxes,Leverantörsskatter
Visibility Days,Synlighetsdagar
Visitor,Besökare
Voucher,Kupong
Waiting for me,Väntar på mig
Wait,Vänta
Warehouse Management,Lagerhantering
Wave Transfer,Vågöverföring
Website Builder,Hemsidesbyggare
Website,Hemsida
Wednesday,onsdag
Widget,Widget
Width,Bredd
WIP,arbete i process
Withholding Tax,Skatteavdrag
Wizard,Guide
Workcenter,Produktionsgrupp
Work Center,Produktionsgrupp
Workcenters,Produktionsgrupper
Work Entry,Arbetsinlägg
Workflow,Arbetsflöde
Work Order,Arbetsorder
Work Sheet,Arbetsblad
Write-off,Nedskrivning
Write-Off,Nedskrivning
Εmail,E-post
To Bill,Att fakturera
Dashboard,Anslagstavla
Project,Projekt
Field Services,Fältservice
Shopfloor,Butiksgolvet
PoS Order,PoS Beställning
HVAC,VVS
bill of material,materialförteckning
Excise,Avgift
Social Marketing,Social marknadsföring
Maintenance,Underhåll
Shop Floor,Butiksgolv
Guest house,Gästhus
city tax,kommunala skatter
Sale Order,Order
Sale Order Line,Kundorderrad
Fleet,Fordon
debit,debitering
credit,kredit
Fiscal positions,Skattepositioner
picking,plockning
Snippet,Utdrag
Point of Sale,Kassasystem
Quote Builder,Offertbyggare
Gift cards,Presentkort
coupons,rabattkuponger
Sales Order,Försäljningsorder
FAQ,Vanliga frågor och svar
Unleash your growth potential,Släpp fram din utvecklingspotential
All your business on one platform,Hela din verksamhet på en plattform
SEO,Sökmotoroptimering (SEO)
Any device,Valfri enhet
Filter by,Filtrera efter
Delivery method configurator,Leveranskalkylator
We're here to help you grow,Vi hjälper dig att växa
Technical skills,Tekniska förkunskaper
Matching your search criteria,Matchar dina söktermer
Maintain stock levels,Bibehålla önskade lagernivåer
Be notified,Bli meddelad
Lead management,Hantering av leads
Nurture leads,Utveckla leads
Lead scoring,Värdering av leads
Generate qualified leads,Skapa kvalificerade leads
Convert lead(s),Omvandla spår
Blanket order,Ramavtal
Purchase agreement,Köpeavtal
Expense report,Utgiftsrapport
Delivery order,Leveransorder
Shipping label,Fraktetikett
Sales metrics,Försäljningsstatistik
Quotation request,Offertförfrågan
Upsell,Sälj mer/Sälj fler produkter
Upselling,Merförsäljning
Order,Beställning
Sales force,Säljstyrka
Request for quotation (RFQ),Offertförfrågan
Customer churn,Kundomsättning
LTV (Lifetime Value),Livstidsvärde
Prospect,Potentiell kund
Payment method,Betalningsmetod
Payment terms,Betalningsvillkor
Payment terminal,Betalterminal
Online payment,Betalning online
Electronic payment,Elektronisk betalning
Commission,Provision
Commission plan,Provisionsplan
Service level agreement (SLA),Servicenivåavtal
Commission rate,Provisionsarvode
Close a deal,Avsluta en affär
Close deals,Avsluta affärer
Website visitor,Hemsidesbesökare
Pickup,Avhämtning
Dropoff,Avlämning
Editor,Redigerare
Editing,Redigering
Tags,Taggar/Etiketter
Ticket,Ärende
Helpdesk,Kundtjänst
Support,Kundtjänst
Address,Adress
Notifications,Notifikationer
Notifications,Notiser
Notifications,Aviseringar
Website design,Webbdesign
Web design,Webbdesign
In total,Totalt
Intuitive,Intuitiv
User friendly,Användarvänlig
API,Programmeringsgränssnitt
Email address,E-postadress
Fleet,Företagsfordon
Make to stock,Lagerstyrt
SLA,Servicenivåavtal
